INFO | 
DEBUG |     epoch :  2/100   iteration :  300/ 793   loss : 5.29354
DEBUG |     epoch :  2/100   iteration :  310/ 793   loss : 5.26988
DEBUG |     epoch :  2/100   iteration :  320/ 793   loss : 5.55139
DEBUG |     epoch :  2/100   iteration :  330/ 793   loss : 5.49084
DEBUG |     epoch :  2/100   iteration :  340/ 793   loss : 5.67709
DEBUG |     epoch :  2/100   iteration :  350/ 793   loss : 5.99923
DEBUG |     epoch :  2/100   iteration :  360/ 793   loss : 5.71193
DEBUG |     epoch :  2/100   iteration :  370/ 793   loss : 5.66521
DEBUG |     epoch :  2/100   iteration :  380/ 793   loss : 5.33250
DEBUG |     epoch :  2/100   iteration :  390/ 793   loss : 5.68198
DEBUG |     epoch :  2/100   iteration :  400/ 793   loss : 5.97044
DEBUG |     epoch :  2/100   iteration :  410/ 793   loss : 5.35985
DEBUG |     epoch :  2/100   iteration :  420/ 793   loss : 5.56258
DEBUG |     epoch :  2/100   iteration :  430/ 793   loss : 5.53100
DEBUG |     epoch :  2/100   iteration :  440/ 793   loss : 5.42645
DEBUG |     epoch :  2/100   iteration :  450/ 793   loss : 5.86500
DEBUG |     epoch :  2/100   iteration :  460/ 793   loss : 5.26477
DEBUG |     epoch :  2/100   iteration :  470/ 793   loss : 5.60854
DEBUG |     epoch :  2/100   iteration :  480/ 793   loss : 6.24376
DEBUG |     epoch :  2/100   iteration :  490/ 793   loss : 5.53235
DEBUG |     epoch :  2/100   iteration :  500/ 793   loss : 5.43256
DEBUG |     epoch :  2/100   iteration :  510/ 793   loss : 5.28987
DEBUG |     epoch :  2/100   iteration :  520/ 793   loss : 5.84509
DEBUG |     epoch :  2/100   iteration :  530/ 793   loss : 5.58494
DEBUG |     epoch :  2/100   iteration :  540/ 793   loss : 6.01511
DEBUG |     epoch :  2/100   iteration :  550/ 793   loss : 5.51129
DEBUG |     epoch :  2/100   iteration :  560/ 793   loss : 5.85846
DEBUG |     epoch :  2/100   iteration :  570/ 793   loss : 5.57324
DEBUG |     epoch :  2/100   iteration :  580/ 793   loss : 5.98366
DEBUG |     epoch :  2/100   iteration :  590/ 793   loss : 5.70328
DEBUG |     epoch :  2/100   iteration :  600/ 793   loss : 5.94824
DEBUG |     epoch :  2/100   iteration :  610/ 793   loss : 5.44549
DEBUG |     epoch :  2/100   iteration :  620/ 793   loss : 5.63343
DEBUG |     epoch :  2/100   iteration :  630/ 793   loss : 5.49040
DEBUG |     epoch :  2/100   iteration :  640/ 793   loss : 6.45647
DEBUG |     epoch :  2/100   iteration :  650/ 793   loss : 5.93378
DEBUG |     epoch :  2/100   iteration :  660/ 793   loss : 5.71625
DEBUG |     epoch :  2/100   iteration :  670/ 793   loss : 5.61891
DEBUG |     epoch :  2/100   iteration :  680/ 793   loss : 5.84067
DEBUG |     epoch :  2/100   iteration :  690/ 793   loss : 5.68479
DEBUG |     epoch :  2/100   iteration :  700/ 793   loss : 5.93440
DEBUG |     epoch :  2/100   iteration :  710/ 793   loss : 5.55211
DEBUG |     epoch :  2/100   iteration :  720/ 793   loss : 5.70784
DEBUG |     epoch :  2/100   iteration :  730/ 793   loss : 5.46089
DEBUG |     epoch :  2/100   iteration :  740/ 793   loss : 5.49603
DEBUG |     epoch :  2/100   iteration :  750/ 793   loss : 5.90105
DEBUG |     epoch :  2/100   iteration :  760/ 793   loss : 5.95554
DEBUG |     epoch :  2/100   iteration :  770/ 793   loss : 5.59493
DEBUG |     epoch :  2/100   iteration :  780/ 793   loss : 5.61206
DEBUG |     epoch :  2/100   iteration :  790/ 793   loss : 5.98078
INFO |     epoch 2/100 done | avg.loss : 5.65939
DEBUG |     epoch :  3/100   iteration :   10/ 793   loss : 5.59213
DEBUG |     epoch :  3/100   iteration :   20/ 793   loss : 5.54052
DEBUG |     epoch :  3/100   iteration :   30/ 793   loss : 5.60579
